n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
10 1 29093 4497 2 0.000007 
10 2 24529 4497 2 0.000008 
10 3 15026 4497 2 0.000008 
10 4 13441 4497 2 0.000023 
10 5 26930 4497 2 0.000020 
10 6 28878 4497 2 0.000008 
10 7 18178 4497 2 0.000008 
10 8 29637 4497 2 0.000010 
10 9 10466 4497 3 0.000032 
10 10 8011 4497 3 0.000028 
10 11 3595 4497 3 0.000110 
10 12 9986 4497 2 0.000010 
10 13 27863 4497 2 0.000017 
10 14 9728 4497 2 0.000011 
10 15 28757 4497 3 0.000024 
10 16 21257 4497 2 0.000009 
11 1 14837 3 2 0.000010 
11 2 21075 3 2 0.000011 
11 3 24672 3 2 0.000010 
11 4 949 3 2 0.000011 
11 5 16295 3 2 0.000010 
11 6 11870 3 2 0.000009 
11 7 26470 3 2 0.000010 
11 8 27916 3 2 0.000010 
11 9 15169 3 2 0.000039 
11 10 29060 3 3 0.000013 
11 11 2773 3 2 0.000009 
11 12 13108 3 2 0.000014 
11 13 16806 3 2 0.000016 
11 14 28627 3 2 0.000009 
11 15 27963 3 3 0.000021 
11 16 23831 3 3 0.000034 
12 1 19042 2972 2 0.000011 
12 2 26220 2972 2 0.000010 
12 3 13761 2972 2 0.000010 
12 4 5542 2972 2 0.000010 
12 5 17131 2972 2 0.000028 
12 6 29710 2972 2 0.000014 
12 7 11212 2972 2 0.000010 
12 8 9750 2972 2 0.000057 
12 9 23682 2972 2 0.000009 
12 10 23043 2972 2 0.000010 
12 11 1562 2972 2 0.000015 
12 12 22947 2972 2 0.000009 
12 13 14297 2972 2 0.000015 
12 14 26162 2972 3 0.000021 
12 15 533 2972 3 0.000040 
12 16 28951 2972 3 0.000032 
13 1 88 15027 2 0.000010 
13 2 21868 15027 2 0.000010 
13 3 27871 15027 2 0.000010 
13 4 15605 15027 2 0.000012 
13 5 21112 15027 2 0.000011 
13 6 29803 15027 3 0.000068 
13 7 17896 15027 2 0.000021 
13 8 22887 15027 3 0.000085 
13 9 27097 15027 2 0.000010 
13 10 2280 15027 2 0.000012 
13 11 13840 15027 2 0.000011 
13 12 16715 15027 2 0.000013 
13 13 5664 15027 2 0.000024 
13 14 19271 15027 3 0.000035 
13 15 11144 15027 2 0.000011 
13 16 18139 15027 3 0.000026 
14 1 14956 19157 2 0.000011 
14 2 14020 19157 2 0.000012 
14 3 19832 19157 2 0.000039 
14 4 18596 19157 2 0.000012 
14 5 1019 19157 3 0.001098 
14 6 6584 19157 2 0.000012 
14 7 3380 19157 2 0.000032 
14 8 16056 19157 2 0.000021 
14 9 24243 19157 2 0.000030 
14 10 19487 19157 2 0.000013 
14 11 846 19157 2 0.000012 
14 12 26299 19157 2 0.000016 
14 13 17912 19157 3 0.000065 
14 14 5692 19157 3 0.000025 
14 15 11973 19157 2 0.000027 
14 16 6404 19157 3 0.000036 
15 1 19315 27378 2 0.000015 
15 2 7109 27378 2 0.000013 
15 3 18727 27378 2 0.000014 
15 4 12543 27378 2 0.000013 
15 5 22325 27378 2 0.000012 
15 6 10458 27378 2 0.000013 
15 7 11616 27378 2 0.000012 
15 8 1666 27378 2 0.000012 
15 9 19643 27378 2 0.000016 
15 10 17650 27378 2 0.000024 
15 11 28165 27378 2 0.000026 
15 12 12058 27378 2 0.000014 
15 13 22525 27378 3 0.000047 
15 14 13294 27378 3 0.000101 
15 15 13566 27378 3 0.000030 
15 16 18258 27378 3 0.000050 
16 1 11493 26302 2 0.000015 
16 2 12698 26302 2 0.000015 
16 3 16541 26302 2 0.000016 
16 4 12915 26302 2 0.000014 
16 5 11202 26302 2 0.000021 
16 6 18366 26302 3 0.000016 
16 7 7709 26302 2 0.000826 
16 8 8842 26302 2 0.000016 
16 9 7604 26302 2 0.000016 
16 10 20149 26302 2 0.000013 
16 11 24877 26302 3 0.000031 
16 12 16798 26302 2 0.000016 
16 13 17837 26302 3 0.000073 
16 14 14426 26302 3 0.000018 
16 15 29881 26302 2 0.000025 
16 16 28273 26302 3 0.000029 
17 1 20151 9057 2 0.000015 
17 2 23965 9057 2 0.000016 
17 3 22554 9057 2 0.000016 
17 4 13459 9057 2 0.000015 
17 5 4718 9057 2 0.000015 
17 6 6694 9057 2 0.000015 
17 7 2066 9057 2 0.000015 
17 8 9352 9057 2 0.000020 
17 9 24920 9057 2 0.000018 
17 10 809 9057 3 0.000351 
17 11 137 9057 3 0.000049 
17 12 14806 9057 3 0.000291 
17 13 6127 9057 3 0.000028 
17 14 17480 9057 3 0.000224 
17 15 3310 9057 2 0.000016 
17 16 12679 9057 3 0.000045 
18 1 7640 4641 2 0.000017 
18 2 24333 4641 2 0.000015 
18 3 27463 4641 2 0.000017 
18 4 21751 4641 2 0.000017 
18 5 9177 4641 2 0.000016 
18 6 23808 4641 3 0.000187 
18 7 26468 4641 2 0.000028 
18 8 22748 4641 2 0.000016 
18 9 1322 4641 2 0.000107 
18 10 18289 4641 3 0.000134 
18 11 21568 4641 3 0.000354 
18 12 1365 4641 2 0.000038 
18 13 7559 4641 3 0.000166 
18 14 27388 4641 3 0.000161 
18 15 18054 4641 3 0.000095 
18 16 25342 4641 3 0.000032 
19 1 17274 21790 2 0.000017 
19 2 6757 21790 2 0.000016 
19 3 11223 21790 2 0.000017 
19 4 29528 21790 2 0.000236 
19 5 11617 21790 2 0.000018 
19 6 22777 21790 3 0.000145 
19 7 24052 21790 2 0.000019 
19 8 3998 21790 2 0.000030 
19 9 7426 21790 3 0.000069 
19 10 15452 21790 3 0.000914 
19 11 20619 21790 3 0.000361 
19 12 24614 21790 3 0.000062 
19 13 21168 21790 3 0.000652 
19 14 25396 21790 3 0.000175 
19 15 12208 21790 3 0.000030 
19 16 25181 21790 3 0.001196 
20 1 4295 14268 2 0.000019 
20 2 11854 14268 2 0.000017 
20 3 25793 14268 2 0.000017 
20 4 14815 14268 3 0.001321 
20 5 11353 14268 2 0.000053 
