n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
2 20 13663 13228 1 0.000005 
2 20 13663 13228 1 0.000006 
2 20 23581 2160 1 0.000005 
2 20 23581 2160 1 0.000050 
2 20 6622 18263 1 0.000003 
2 20 6622 18263 1 0.000004 
2 20 5107 21033 1 0.000004 
2 20 5107 21033 1 0.000005 
2 20 19301 29617 1 0.000005 
2 20 19301 29617 1 0.000005 
2 20 25229 909 1 0.000004 
2 20 25229 909 1 0.000005 
2 20 9975 10208 1 0.000004 
2 20 9975 10208 1 0.000007 
2 20 17777 27363 1 0.000004 
2 20 17777 27363 1 0.000005 
2 20 29841 11880 1 0.000005 
2 20 29841 11880 1 0.000006 
2 20 13945 26920 1 0.000004 
2 20 13945 26920 1 0.000007 
2 20 9960 25931 1 0.000005 
2 20 9960 25931 1 0.000004 
2 20 12507 22042 2 0.000001 
2 20 12507 22042 2 0.000011 
2 20 24294 26507 2 0.000001 
2 20 24294 26507 2 0.000002 
2 20 5224 16203 1 0.000006 
2 20 5224 16203 1 0.000006 
2 20 17018 21073 1 0.000005 
2 20 17018 21073 1 0.000057 
3 20 28650 10370 1 0.000008 
3 20 28650 10370 1 0.000008 
3 20 24113 14908 1 0.000007 
3 20 24113 14908 1 0.000009 
3 20 29739 16365 1 0.000007 
3 20 29739 16365 1 0.000007 
3 20 15419 832 1 0.000008 
3 20 15419 832 1 0.000008 
3 20 11283 1688 1 0.000007 
3 20 11283 1688 1 0.000008 
3 20 12660 6612 2 0.000006 
3 20 12660 6612 2 0.000005 
3 20 17690 10187 1 0.000007 
3 20 17690 10187 1 0.000007 
3 20 3974 8530 2 0.000006 
3 20 3974 8530 2 0.000009 
3 20 26826 23558 1 0.000007 
3 20 26826 23558 1 0.000007 
3 20 28587 18254 2 0.000007 
3 20 28587 18254 2 0.000008 
3 20 29799 11279 2 0.000006 
3 20 29799 11279 2 0.000006 
3 20 1398 25490 2 0.000007 
3 20 1398 25490 2 0.000006 
3 20 18560 29145 1 0.000011 
3 20 18560 29145 1 0.000008 
3 20 9071 3740 1 0.000008 
3 20 9071 3740 1 0.000007 
3 20 26663 7581 1 0.000007 
3 20 26663 7581 1 0.000006 
4 20 323 15841 2 0.000008 
4 20 323 15841 2 0.000008 
4 20 406 3922 2 0.000008 
4 20 406 3922 2 0.000007 
4 20 25656 6150 2 0.000007 
4 20 25656 6150 2 0.000007 
4 20 21313 13180 2 0.000007 
4 20 21313 13180 2 0.000008 
4 20 18116 3 2 0.000010 
4 20 18116 3 2 0.000008 
4 20 23773 19864 2 0.000008 
4 20 23773 19864 2 0.000010 
4 20 5136 12923 2 0.000009 
4 20 5136 12923 2 0.000008 
4 20 22238 25576 1 0.000009 
4 20 22238 25576 1 0.000008 
4 20 22341 19216 2 0.000007 
4 20 22341 19216 2 0.000009 
4 20 27096 7899 1 0.000008 
4 20 27096 7899 1 0.000008 
4 20 8107 25118 1 0.000014 
4 20 8107 25118 1 0.000009 
4 20 21654 13264 2 0.000007 
4 20 21654 13264 2 0.000007 
4 20 17253 18842 2 0.000007 
4 20 17253 18842 2 0.000007 
4 20 23032 6757 1 0.000013 
4 20 23032 6757 1 0.000010 
4 20 18263 23342 2 0.000006 
4 20 18263 23342 2 0.000008 
5 20 2970 7227 2 0.000012 
5 20 2970 7227 2 0.000012 
5 20 15331 9138 2 0.000011 
5 20 15331 9138 2 0.000011 
5 20 7874 2738 2 0.000013 
5 20 7874 2738 2 0.000011 
5 20 18461 4865 2 0.000011 
5 20 18461 4865 2 0.000011 
5 20 8659 6437 2 0.000011 
5 20 8659 6437 2 0.000012 
5 20 5861 16736 2 0.000012 
5 20 5861 16736 2 0.000012 
5 20 28369 21932 2 0.000015 
5 20 28369 21932 2 0.000011 
5 20 9373 14066 2 0.000016 
5 20 9373 14066 2 0.000015 
5 20 18810 8051 2 0.000012 
5 20 18810 8051 2 0.000012 
5 20 24793 6855 2 0.000011 
5 20 24793 6855 2 0.000010 
5 20 8516 4756 2 0.000010 
5 20 8516 4756 2 0.000012 
5 20 23288 22029 3 0.000008 
5 20 23288 22029 3 0.000008 
5 20 13893 7414 2 0.000014 
5 20 13893 7414 2 0.000013 
5 20 11903 29510 2 0.000010 
5 20 11903 29510 2 0.000010 
5 20 189 18956 3 0.000013 
5 20 189 18956 3 0.000012 
6 20 15279 24493 2 0.000014 
6 20 15279 24493 2 0.000029 
6 20 22972 12534 2 0.000017 
6 20 22972 12534 2 0.000045 
6 20 21914 27972 2 0.000017 
6 20 21914 27972 2 0.000017 
6 20 12829 19095 2 0.000015 
6 20 12829 19095 2 0.000014 
